,Date,Vander_Score,Buy,Sell
0,2015-01-01,0.07658553249804229,0,1
1,2015-01-02,0.04068358208955223,0,1
2,2015-01-03,0.0,0,1
3,2015-01-04,0.12947440476190478,0,1
4,2015-01-05,0.11325686274509801,0,1
5,2015-01-06,0.0,0,1
6,2015-01-07,-0.2732,1,0
7,2015-01-08,0.1095795061728395,1,0
8,2015-01-09,0.0,0,1
9,2015-01-10,0.0,0,1
10,2015-01-11,0.0,0,1
11,2015-01-12,0.6369,0,1
12,2015-01-13,0.0,0,1
13,2015-01-14,0.25,1,0
14,2015-01-15,0.0,0,1
15,2015-01-16,0.0,0,1
16,2015-01-17,0.0,0,1
17,2015-01-18,0.0,0,1
18,2015-01-19,0.0,0,1
19,2015-01-20,0.0,1,0
20,2015-01-21,0.12470658174097664,1,0
21,2015-01-22,0.34,1,0
22,2015-01-23,0.4927,1,0
23,2015-01-24,0.2771465909090909,1,0
24,2015-01-25,0.09020193637621023,1,0
25,2015-01-26,-0.026285337078651688,0,1
26,2015-01-27,0.004692164471220941,0,1
27,2015-01-28,0.0007379503497305359,0,1
28,2015-01-29,0.01372441117764471,1,0
29,2015-01-30,-0.013978807649043874,0,1
30,2015-01-31,0.0,0,1
31,2015-02-01,0.0,0,1
32,2015-02-02,0.0,1,0
33,2015-02-03,-0.12307555555555556,1,0
34,2015-02-04,0.0,1,0
35,2015-02-05,0.03842214149139579,0,1
36,2015-02-06,0.005168686868686868,0,1
37,2015-02-07,0.0,0,1
38,2015-02-08,0.0,0,1
39,2015-02-09,0.0,1,0
40,2015-02-10,0.003841041454730417,1,0
41,2015-02-11,0.017098145093062605,1,0
42,2015-02-12,0.033282259638848226,1,0
43,2015-02-13,0.0073668416447944,0,1
44,2015-02-14,0.056400468933177024,0,1
45,2015-02-15,0.0,0,1
46,2015-02-16,0.06164157160963243,0,1
47,2015-02-17,0.0074929059233449485,1,0
48,2015-02-18,-0.007247746781115875,1,0
49,2015-02-19,0.14389589603283173,0,1
50,2015-02-20,-0.017956129032258066,1,0
51,2015-02-21,0.0,1,0
52,2015-02-22,0.016299293059125964,1,0
53,2015-02-23,0.014043777882748125,1,0
54,2015-02-24,0.021468394308943085,0,1
55,2015-02-25,0.5859,0,1
56,2015-02-26,0.02542230267921796,1,0
57,2015-02-27,0.15726521739130433,0,1
58,2015-02-28,0.0,0,1
59,2015-03-01,0.5994,0,1
60,2015-03-02,0.06502012987012987,0,1
61,2015-03-03,0.06062023593466424,1,0
62,2015-03-04,-0.6369,0,1
63,2015-03-05,0.020587722419928827,0,1
64,2015-03-06,0.005735702199661591,0,1
65,2015-03-07,0.0772,0,1
66,2015-03-08,0.07692651515151515,0,1
67,2015-03-09,0.007746555628606912,0,1
68,2015-03-10,0.00842768115942029,0,1
69,2015-03-11,0.0,0,1
70,2015-03-12,-0.031188118811881188,1,0
71,2015-03-13,0.17331913746630728,0,1
72,2015-03-14,0.0,0,1
73,2015-03-15,0.0,0,1
74,2015-03-16,0.0,1,0
75,2015-03-17,0.004118260869565217,1,0
76,2015-03-18,0.0,1,0
77,2015-03-19,0.02608208722741433,0,1
78,2015-03-20,-0.025800241157556268,0,1
79,2015-03-21,0.0,0,1
80,2015-03-22,0.0,0,1
81,2015-03-23,0.0,1,0
82,2015-03-24,0.0,0,1
83,2015-03-25,0.0,0,1
84,2015-03-26,0.0,1,0
85,2015-03-27,-0.002217142857142855,0,1
86,2015-03-28,0.0,0,1
87,2015-03-29,0.0,0,1
88,2015-03-30,0.18713632478632478,1,0
89,2015-03-31,0.09144702970297029,0,1
90,2015-04-01,0.0,0,1
91,2015-04-02,0.7562,1,0
92,2015-04-03,0.0,1,0
93,2015-04-04,0.0,1,0
94,2015-04-05,0.0,1,0
95,2015-04-06,0.10531304347826087,1,0
96,2015-04-07,0.0,0,1
97,2015-04-08,0.02027699115044248,0,1
98,2015-04-09,0.016427851373182555,1,0
99,2015-04-10,0.0050374670184696576,1,0
100,2015-04-11,0.26753078703703703,1,0
101,2015-04-12,-0.02014802110817942,1,0
102,2015-04-13,0.15012419161676646,0,1
103,2015-04-14,0.0,0,1
104,2015-04-15,0.0,1,0
105,2015-04-16,0.0,0,1
106,2015-04-17,-0.1027,0,1
107,2015-04-18,0.0,0,1
108,2015-04-19,0.1903082904516867,0,1
109,2015-04-20,0.5859,1,0
110,2015-04-21,0.0,0,1
111,2015-04-22,0.0,1,0
112,2015-04-23,0.0,1,0
113,2015-04-24,0.04285117684478371,0,1
114,2015-04-25,0.0,0,1
115,2015-04-26,0.12986060606060607,0,1
116,2015-04-27,0.0029482843137254903,1,0
117,2015-04-28,-0.004590012956901258,0,1
118,2015-04-29,0.0,0,1
119,2015-04-30,-0.0558295751633987,0,1
120,2015-05-01,-0.007830142231947484,1,0
121,2015-05-02,0.0,1,0
122,2015-05-03,0.11558555555555555,1,0
123,2015-05-04,0.0,0,1
124,2015-05-05,-0.34726858108108105,0,1
125,2015-05-06,-0.6326,0,1
126,2015-05-07,0.0,1,0
127,2015-05-08,0.0,1,0
128,2015-05-09,0.0,1,0
129,2015-05-10,0.0,1,0
130,2015-05-11,0.0,0,1
131,2015-05-12,0.0,1,0
132,2015-05-13,0.0,0,1
133,2015-05-14,0.0,1,0
134,2015-05-15,0.0,0,1
135,2015-05-16,0.0,0,1
136,2015-05-17,0.5574,0,1
137,2015-05-18,0.039877785515320334,1,0
138,2015-05-19,0.04473777777777777,0,1
139,2015-05-20,0.0,1,0
140,2015-05-21,0.4215,1,0
141,2015-05-22,0.4404,1,0
142,2015-05-23,0.3182,1,0
143,2015-05-24,0.0,1,0
144,2015-05-25,0.0,1,0
145,2015-05-26,0.0,0,1
146,2015-05-27,0.03115042682926829,1,0
147,2015-05-28,0.0,0,1
148,2015-05-29,0.0,0,1
149,2015-05-30,0.1539097796143251,0,1
150,2015-05-31,0.0,0,1
151,2015-06-01,-0.0531,0,1
152,2015-06-02,0.0,1,0
153,2015-06-03,0.0,0,1
154,2015-06-04,0.0,0,1
155,2015-06-05,0.0,0,1
156,2015-06-06,-0.02592387096774193,0,1
157,2015-06-07,-0.5709,0,1
158,2015-06-08,0.0,0,1
159,2015-06-09,0.03933434343434342,1,0
160,2015-06-10,-0.04900764331210191,1,0
161,2015-06-11,-0.09888148148148147,0,1
162,2015-06-12,-0.17932115384615382,0,1
163,2015-06-13,0.0,0,1
164,2015-06-14,-0.036177777777777774,0,1
165,2015-06-15,0.8767,1,0
166,2015-06-16,0.0,1,0
167,2015-06-17,-0.2721298076923077,0,1
168,2015-06-18,0.0,1,0
169,2015-06-19,-0.15096470588235295,0,1
170,2015-06-20,0.0,0,1
171,2015-06-21,0.2447648148148148,0,1
172,2015-06-22,0.10469887387387387,1,0
173,2015-06-23,0.02128627450980392,0,1
174,2015-06-24,0.08563975749840459,1,0
175,2015-06-25,0.06800584795321639,0,1
176,2015-06-26,0.0,0,1
177,2015-06-27,0.0,0,1
178,2015-06-28,0.0,0,1
179,2015-06-29,0.0,0,1
180,2015-06-30,0.4019,0,1
181,2015-07-01,0.0007876553438276723,0,1
182,2015-07-02,0.0,1,0
183,2015-07-03,0.0,1,0
184,2015-07-04,0.5106,1,0
185,2015-07-05,-0.3612,1,0
186,2015-07-06,0.0,1,0
187,2015-07-07,0.0,0,1
188,2015-07-08,-0.22197499999999998,0,1
189,2015-07-09,-0.02158247863247863,0,1
190,2015-07-10,0.042385840707964605,1,0
191,2015-07-11,0.0,1,0
192,2015-07-12,0.6249,1,0
193,2015-07-13,0.29876739926739926,1,0
194,2015-07-14,0.18562200598802397,0,1
195,2015-07-15,0.047438493723849375,1,0
196,2015-07-16,-0.06257092419522327,1,0
197,2015-07-17,-0.006284160756501178,1,0
198,2015-07-18,0.23319344262295083,1,0
199,2015-07-19,-0.038421666666666666,1,0
200,2015-07-20,0.0,1,0
201,2015-07-21,0.004577861659798211,0,1
202,2015-07-22,0.0018339498313949486,1,0
203,2015-07-23,0.007045856610800745,0,1
204,2015-07-24,0.0,0,1
205,2015-07-25,0.06395348837209303,0,1
206,2015-07-26,0.0,0,1
207,2015-07-27,0.0,0,1
208,2015-07-28,0.128,1,0
209,2015-07-29,0.0,0,1
210,2015-07-30,0.0,1,0
211,2015-07-31,0.0,0,1
212,2015-08-01,0.25762199999999996,0,1
213,2015-08-02,0.4404,0,1
214,2015-08-03,0.0,0,1
215,2015-08-04,-0.004041283361726291,0,1
216,2015-08-05,-0.0670051724137931,1,0
217,2015-08-06,0.0,0,1
218,2015-08-07,0.03756804347826087,1,0
219,2015-08-08,0.0,1,0
220,2015-08-09,0.0,1,0
221,2015-08-10,0.0,1,0
222,2015-08-11,0.0,0,1
223,2015-08-12,0.3019777777777778,1,0
224,2015-08-13,-0.003197337883959045,0,1
225,2015-08-14,0.010959138187221397,1,0
226,2015-08-15,0.4404,1,0
227,2015-08-16,0.0,1,0
228,2015-08-17,0.0,1,0
229,2015-08-18,0.0,1,0
